code_snippet,memory_access_pattern,constant,delta,pointer_chase,indirect_delta,indirect_index,constant_plus_offset_reference
int accepted_good_moves=0,[constant],1,0,0,0,0,0
int accepted_bad_moves=-1,[constant],1,0,0,0,0,0
double T = _start_temp,[constant],1,0,0,0,0,0
netlist_elem* a = _netlist->get_random_element(&a_id  NO_MATCHING_ELEMENT  &rng),[constant],1,0,0,0,0,0
netlist_elem* b = _netlist->get_random_element(&b_id  NO_MATCHING_ELEMENT  &rng),[constant],1,0,0,0,0,0
int temp_steps_completed=0,[constant],1,0,0,0,0,0
T = T / 1.5,[constant],1,0,0,0,0,0
accepted_good_moves = 0,[constant],1,0,0,0,0,0
accepted_bad_moves = 0,[constant],1,0,0,0,0,0
while(keep_going(temp_steps_completed, accepted_good_moves, accepted_bad_moves)),[constant],1,0,0,0,0,0
a = b,[constant pointer_chase],1,0,1,0,0,0
a_id = b_id,[constant pointer_chase],1,0,1,0,0,0
b = _netlist->get_random_element(&b_id  a_id  &rng),[constant],1,0,0,0,0,0
